

Unfortunately all 100 could not be downloaded because some images were not downloadable. 97 is all we got for this search filter!
100 113.15317606925964 0.0
         736646 function calls (727935 primitive calls) in 113.597 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    676/1    0.003    0.000  113.599  113.599 {built-in method builtins.exec}
        1    0.000    0.000  113.599  113.599 sequential_simulations.py:1(<module>)
        1    0.000    0.000  113.154  113.154 sequential_simulations.py:51(main)
        1    0.000    0.000  113.154  113.154 sequential_simulations.py:33(single_example_running_time)
        1    0.000    0.000  113.153  113.153 google_images_download.py:931(download)
        1    0.000    0.000  113.153  113.153 google_images_download.py:975(download_executor)
        1    0.006    0.006  111.825  111.825 google_images_download.py:869(_get_all_items)
      100    0.007    0.000  111.817    1.118 google_images_download.py:719(download_image)
     8802    0.047    0.000   81.541    0.009 socket.py:655(readinto)
     8801    0.045    0.000   81.435    0.009 ssl.py:1230(recv_into)
     8801    0.030    0.000   81.379    0.009 ssl.py:1090(read)
     8801   81.347    0.009   81.347    0.009 {method 'read' of '_ssl._SSLSocket' objects}
      109    0.001    0.000   59.599    0.547 client.py:447(read)
      825    0.040    0.000   58.085    0.070 {method 'read' of '_io.BufferedReader' objects}
      496    0.002    0.000   57.340    0.116 client.py:605(_safe_read)
      101    0.001    0.000   53.363    0.528 request.py:139(urlopen)
  109/101    0.003    0.000   53.361    0.528 request.py:506(open)
  226/207    0.001    0.000   53.353    0.258 request.py:495(_call_chain)
      109    0.001    0.000   53.347    0.489 request.py:535(_open)
      109    0.005    0.000   53.344    0.489 request.py:1309(do_open)
      108    0.001    0.000   53.226    0.493 request.py:1392(https_open)
      109    0.001    0.000   31.146    0.286 client.py:1252(request)
      109    0.004    0.000   31.145    0.286 client.py:1257(_send_request)
      109    0.001    0.000   31.126    0.286 client.py:1239(endheaders)
      109    0.001    0.000   31.125    0.286 client.py:1001(_send_output)
      109    0.002    0.000   31.124    0.286 client.py:942(send)
      108    0.002    0.000   31.022    0.287 client.py:1414(connect)
     2136    0.004    0.000   23.501    0.011 {method 'readline' of '_io.BufferedReader' objects}
      109    0.002    0.000   22.121    0.203 client.py:1303(getresponse)
      109    0.004    0.000   22.112    0.203 client.py:300(begin)
      109    0.003    0.000   22.020    0.202 client.py:267(_read_status)
      109    0.002    0.000   18.331    0.168 client.py:919(connect)
      109    0.002    0.000   18.328    0.168 socket.py:771(create_connection)
      108    0.001    0.000   12.780    0.118 ssl.py:494(wrap_socket)
      108    0.006    0.000   12.779    0.118 ssl.py:983(_create)
      108    0.002    0.000   12.755    0.118 ssl.py:1302(do_handshake)
      108   12.753    0.118   12.753    0.118 {method 'do_handshake' of '_ssl._SSLSocket' objects}
      109    0.002    0.000    9.534    0.087 socket.py:901(getaddrinfo)
      109    9.525    0.087    9.528    0.087 {built-in method _socket.getaddrinfo}
      109    8.789    0.081    8.789    0.081 {method 'connect' of '_socket.socket' objects}
        8    0.001    0.000    3.503    0.438 client.py:567(_readall_chunked)
  109/101    0.000    0.000    2.348    0.023 request.py:634(http_response)
      8/5    0.000    0.000    2.348    0.470 request.py:550(error)
      8/5    0.000    0.000    2.348    0.470 request.py:697(http_error_302)
      207    0.001    0.000    1.491    0.007 client.py:543(_get_chunk_left)
      207    0.002    0.000    1.486    0.007 client.py:513(_read_next_chunk_size)
        1    0.021    0.021    1.328    1.328 google_images_download.py:204(download_page)
       28    0.001    0.000    0.669    0.024 __init__.py:1(<module>)
    618/6    0.003    0.000    0.447    0.074 <frozen importlib._bootstrap>:986(_find_and_load)
    410/6    0.001    0.000    0.446    0.074 <frozen importlib._bootstrap>:956(_find_and_load_unlocked)
    530/8    0.000    0.000    0.444    0.055 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
    387/7    0.002    0.000    0.438    0.063 <frozen importlib._bootstrap>:650(_load_unlocked)
    318/9    0.001    0.000    0.429    0.048 <frozen importlib._bootstrap_external>:777(exec_module)
   403/28    0.001    0.000    0.359    0.013 {built-in method builtins.__import__}
   409/73    0.001    0.000    0.357    0.005 <frozen importlib._bootstrap>:1017(_handle_fromlist)
        1    0.000    0.000    0.229    0.229 pyplot.py:4(<module>)
1359/1106    0.019    0.000    0.121    0.000 {built-in method builtins.__build_class__}
        1    0.000    0.000    0.119    0.119 request.py:1378(http_open)
     15/5    0.000    0.000    0.083    0.017 <frozen importlib._bootstrap>:613(_load_backward_compatible)
      109    0.007    0.000    0.082    0.001 client.py:204(parse_headers)
       97    0.076    0.001    0.076    0.001 {method 'write' of '_io.BufferedWriter' objects}
        1    0.000    0.000    0.075    0.075 colorbar.py:1(<module>)
      109    0.002    0.000    0.071    0.001 parser.py:59(parsestr)
        1    0.000    0.000    0.070    0.070 figure.py:1(<module>)
      109    0.001    0.000    0.069    0.001 parser.py:41(parse)
      108    0.003    0.000    0.068    0.001 client.py:1378(__init__)
    229/9    0.000    0.000    0.067    0.007 __init__.py:109(import_module)
    229/9    0.000    0.000    0.067    0.007 <frozen importlib._bootstrap>:1002(_gcd_import)
      5/2    0.000    0.000    0.067    0.033 pyplot.py:216(switch_backend)
      376    0.000    0.000    0.067    0.000 __init__.py:686(__getitem__)
        4    0.000    0.000    0.066    0.016 pyplot.py:276(backend_mod)
      318    0.002    0.000    0.065    0.000 <frozen importlib._bootstrap_external>:849(get_code)
      108    0.003    0.000    0.062    0.001 ssl.py:723(create_default_context)
        1    0.000    0.000    0.061    0.061 backend_gtk3agg.py:1(<module>)
        1    0.006    0.006    0.058    0.058 backend_gtk3.py:1(<module>)
       11    0.000    0.000    0.057    0.005 artist.py:1613(kwdoc)
      109    0.000    0.000    0.056    0.001 feedparser.py:173(feed)
        1    0.000    0.000    0.054    0.054 _subplots.py:1(<module>)
      218    0.001    0.000    0.053    0.000 feedparser.py:178(_call_parse)
      218    0.007    0.000    0.052    0.000 feedparser.py:218(_parsegen)
     2611    0.050    0.000    0.050    0.000 {built-in method __new__ of type object at 0x906780}
      108    0.000    0.000    0.048    0.000 ssl.py:482(__new__)
      318    0.001    0.000    0.047    0.000 <frozen importlib._bootstrap_external>:578(_compile_bytecode)
      318    0.045    0.000    0.045    0.000 {built-in method marshal.loads}
     12/2    0.000    0.000    0.044    0.022 importer.py:121(load_module)
    12/11    0.000    0.000    0.043    0.004 __init__.py:75(load_overrides)
       11    0.001    0.000    0.043    0.004 artist.py:1386(pprint_setters)
  417/416    0.002    0.000    0.040    0.000 <frozen importlib._bootstrap>:890(_find_spec)
        1    0.000    0.000    0.039    0.039 _axes.py:1(<module>)
        2    0.000    0.000    0.039    0.019 <frozen zipimport>:234(load_module)
     2074    0.002    0.000    0.039    0.000 re.py:289(_compile)
        1    0.000    0.000    0.038    0.038 contour.py:1(<module>)
      395    0.000    0.000    0.036    0.000 <frozen importlib._bootstrap_external>:1334(find_spec)
      325    0.035    0.000    0.035    0.000 {built-in method builtins.compile}
  396/395    0.002    0.000    0.035    0.000 <frozen importlib._bootstrap_external>:1302(_get_spec)
      193    0.001    0.000    0.035    0.000 sre_compile.py:759(compile)
     2704    0.020    0.000    0.034    0.000 inspect.py:625(cleandoc)
      320    0.001    0.000    0.033    0.000 overrides.py:187(decorator)
        1    0.000    0.000    0.031    0.031 google_images_download.py:8(<module>)
     2387    0.002    0.000    0.030    0.000 inspect.py:606(getdoc)
        1    0.000    0.000    0.028    0.028 rcsetup.py:1(<module>)
        1    0.000    0.000    0.027    0.027 collections.py:1(<module>)
        1    0.000    0.000    0.027    0.027 request.py:1(<module>)
        1    0.027    0.027    0.027    0.027 {method 'recv_into' of '_socket.socket' objects}
        1    0.000    0.000    0.026    0.026 text.py:1(<module>)
      107    0.000    0.000    0.025    0.000 re.py:250(compile)
      109    0.009    0.000    0.024    0.000 feedparser.py:471(_parse_headers)
  209/181    0.004    0.000    0.023    0.000 module.py:128(__getattr__)
     1035    0.006    0.000    0.023    0.000 <frozen importlib._bootstrap_external>:1431(find_spec)
      109    0.000    0.000    0.023    0.000 client.py:409(_close_conn)
  372/371    0.001    0.000    0.023    0.000 <frozen importlib._bootstrap>:549(module_from_spec)
      109    0.001    0.000    0.022    0.000 {method 'close' of '_io.BufferedReader' objects}
      109    0.002    0.000    0.022    0.000 request.py:325(__init__)
      425    0.001    0.000    0.022    0.000 artist.py:1290(get_valid_values)
      109    0.005    0.000    0.021    0.000 socket.py:732(close)
       12    0.001    0.000    0.021    0.002 artist.py:1337(get_setters)
      193    0.001    0.000    0.021    0.000 sre_parse.py:937(parse)
     1747    0.001    0.000    0.020    0.000 artist.py:1356(is_alias)
     8802    0.011    0.000    0.020    0.000 {method '_checkReadable' of '_io._IOBase' objects}
      128    0.020    0.000    0.020    0.000 {built-in method io.open}
  431/193    0.001    0.000    0.020    0.000 sre_parse.py:435(_parse_sub)
        1    0.002    0.002    0.019    0.019 Gtk.py:22(<module>)
  491/201    0.008    0.000    0.019    0.000 sre_parse.py:493(_parse)
       97    0.019    0.000    0.019    0.000 {method 'close' of '_io.BufferedWriter' objects}
        1    0.000    0.000    0.019    0.019 fontconfig_pattern.py:1(<module>)
        1    0.000    0.000    0.019    0.019 client.py:1(<module>)
      109    0.001    0.000    0.017    0.000 socket.py:486(_decref_socketios)
      218    0.001    0.000    0.016    0.000 socket.py:496(close)
      693    0.000    0.000    0.016    0.000 inspect.py:3091(signature)
       12    0.000    0.000    0.016    0.001 artist.py:1242(__init__)
        1    0.000    0.000    0.016    0.016 pyparsing.py:27(<module>)
      693    0.000    0.000    0.016    0.000 inspect.py:2839(from_callable)
